facility-code,facility-name,province,county,district,division,type,owner,sub-location,description-of-location,constituency,nearest-town,beds,cots,town,job-title-of-in-charge,open-24_hours,open-weekends,operational-status
18859,AAR_Healthcare_Limited_(Karen),Nairobi,Nairobi,Langata,Lang'ata,Medical_Clinic,Private_Enterprise_(Institution),Lang'ata,"Next_to_Nairobi_Pentecostal_Church_Karen,_Opposite_Catholic_University_along_Langata_Road.",LANG'ATA,Great_Jubilee_shopping__center,0,0,Nairobi,Nursing_Officer_in_Charge,N,Y,Operational
12862,AAR_Kariobangi_Clinic,Nairobi,Nairobi,Ruaraka,Kasarani,Medical_Clinic,Private_Enterprise_(Institution),,,RUARAKA,Nairobi,0,0,,,N,N,Not-Operational
11194,AAR_Medical_Services_(Docks),Coast,Mombasa,Mvita,Island,Medical_Clinic,Private_Enterprise_(Institution),Ganjoni,At_Lulu_House_next_to_Railway_Station,MVITA,Mombasa,0,0,,,N,N,Operational
20140,AAR_Mountain_mall,Nairobi,Nairobi,Roysambu,Roysambu,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Garden,In__the_mountain_mall_Naivas_mall_building,ROYSAMBU,Rosters,0,0,Nairobi,Nursing_Officer_in_Charge,N,Y,Operational
14183,AAR_Nakuru_Clinic,Rift_Valley,Nakuru,Nakuru,Municipality,Dispensary,Non-Governmental_Organizations,Viwanda,at_Giddo_plaza_ground_floor,NAKURU_TOWN,Nakuru_Town,0,0,Nakuru,Nursing_Officer_in_Charge,N,Y,Operational
21224,AAR_Outpatient_Center_Donholm,Nairobi,Nairobi,Embakasi_East,Embakasi_East,Medical_Clinic,Private_Practice_-_General_Practitioner,Donholm,Donholm_next_to_total_petrol_station_formerly_caltex,EMBAKASI_EAST,Donholm,4,2,Nairobi,Nursing_Officer_in_Charge,N,Y,Operational
20940,AAR_Thika_out_Patient_Centre,Central,Kiambu,Thika_West,Thika_Municipality,Medical_Clinic,Private_Practice_-_General_Practitioner,Komu,,JUJA,Wabera_street_opposite_thika_stadium_zuri_centre_3rd_flooor,0,0,Nairobi,Medical_Superintendant,N,Y,Operational
20848,African_Muslim_Agency_Dispensary,Eastern,Isiolo,Garbatula,Garbatulla,Dispensary,Supreme_Council_for_Kenya_Muslims,Garbatulla_south,,ISIOLO_SOUTH,AMA_Children_Home,0,0,Garbatulla,Nursing_Officer_in_Charge,N,N,Not-Operational
20320,African_Muslim_Agency-_Matsangoni,Coast,Kilifi,Kilifi_North,Bahari,Dispensary,Supreme_Council_for_Kenya_Muslims,Matsangoni,On_Mombasa-Malindi_Highway_about_2km_from_Arabuko_forest_near_Mtsangoni,BAHARI,Matsangoni,0,0,Kilifi,Clinical_Officer,Y,Y,Operational
12865,Afwan_Medical_Centre,Nairobi,Nairobi,Kamukunji,Pumwani,Nursing_Home,Private_Enterprise_(Institution),Pumwani,Opposite_Pumwani_Maternity,KAMUKUNJI,Eastleigh,40,4,Nairobi,Hospital_Director,Y,Y,Operational
17335,Afwein_Dispensary,North_Eastern,Garissa,Lagdera,Shantabak,Dispensary,Ministry_of_Health,Shantabak,,LAGDERA,Shantabak,0,0,Modogashe,Nursing_Officer_in_Charge,Y,Y,Operational
19162,Afwene_Clinic,North_Eastern,Garissa,Garissa,,Medical_Clinic,Private_Practice_-_Clinical_Officer,,,DUJIS,,0,0,,,N,Y,Operational
17577,Afya_Bora_Clinic,Central,Kirinyaga,Kirinyaga_North,Mwea,Medical_Clinic,Private_Practice_-_General_Practitioner,Kiarukungu,Next_to_Alfa_Supermarket_Opposite_,MWEA,Ngurubani,0,0,Kerugoya,Doctor_In_Charge,N,Y,Operational
11919,Afya_Bora_Clinic_(Meru_South),Eastern,Tharaka_Nithi,Meru_South,Chuka,Medical_Clinic,Private_Enterprise_(Institution),Township,Wiyhin_Chuka_Town,CHUKA_IGAMBANGOMBE,Chuka_Town,0,0,Chuka,Nursing_Officer_in_Charge,N,N,Operational
17819,Afya_Bora_Clinic_(Mutomo),Eastern,Kitui,Mutomo,Mutomo,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Kawelu,,KITUI_SOUTH,Mutomo_Town,0,0,Mutomo,Nursing_Officer_in_Charge,N,N,Operational
10011,Afya_Bora_Clinic_(Mwea),Central,Kirinyaga,Kirinyaga_North,Mwea,Medical_Clinic,Private_Enterprise_(Institution),Kabiriri,,MWEA,Kandondgu,0,0,,Medical_Superintendant,N,N,Operational
19966,Afya_Bora_Clinic_Karia,Central,Kiambu,Githunguri,Githunguri,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Kiairia,At_Karia_Market,GITHUNGURI,Kiairia,0,0,Githunguri,Nursing_Officer_in_Charge,N,Y,Operational
19515,Afya_Bora_Health_Care,Nairobi,Nairobi,Westlands,Kangemi,Medical_Clinic,Non-Governmental_Organizations,,,WESTLANDS,,12,1,,,Y,Y,Operational
19794,Afya_Bora_Health_Clinic,Central,Nyandarua,Nyandarua_West,Oljoro_orok,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Weru,Situated_at_Kasuku_Township,OL_KALOU,Kasuku,0,0,Oljoro_orok,Nursing_Officer_in_Charge,N,N/A,Operational
19662,Afya_Bora_Mc,Rift_Valley,Trans_Nzoia,Trans_Nzoia_West,Central,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Kipsongo,At_Kipsongo_Estate_near_Kitale_Technical_College_along_Kitale/Kisawai_roadl,SABOTI,Kitale,0,0,Kitale,Nursing_Officer_in_Charge,N,Y,Operational
16411,Afya_Bora_Medical_Clinic,Rift_Valley,Nakuru,Njoro,Mau-Narok,Medical_Clinic,Private_Enterprise_(Institution),Kianjoya,Kianjoya_trading_centre.,MOLO,Kianjoya,0,0,,Nursing_Officer_in_Charge,N,N,Operational
16491,Afya_Bora_Medical_Clinic_(CFW_Clinic_Gichugu),Central,Kirinyaga,Kirinyaga_East,Gichugu,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Kanjuu,Gathoge_Kutus-_Embu_Road,GICHUGU,Gathoge,0,0,Kianyaga,Nursing_Officer_in_Charge,N,N,Operational
11200,Afya_Bora_Medical_Clinic_(Malindi),Coast,Kilifi,Magarini,Magarini,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Marereni,Next_to_marereni_market,MAGARINI,Malindi,0,0,Gongoni,Nursing_Officer_in_Charge,Y,Y,Operational
21165,Afya_Bora_Medical_Clinic_(Mirangine),Central,Nyandarua,Mirangine,Mirangine,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Sabugo,,OL_KALOU,Mirangine,0,0,Mirangine,Nursing_Officer_in_Charge,N,Y,Operational
10007,Afya_Bora_Medical_Clinic_(Muchagara),Central,Kirinyaga,Kirinyaga_East,Gichugu,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Thumaita,Situated_in_Muchagara_market_along_Kianyaga/Kamugunda_road,GICHUGU,Muchagara,0,0,Kianyaga,Nursing_Officer_in_Charge,N,N,Operational
10008,Afya_Bora_Medical_Clinic_(Nyeri_South),Central,Nyeri,Nyeri_Central,Municipality,Medical_Clinic,Private_Practice_-_Clinical_Officer,Ruringu,Ruringu_market,NYERI_TOWN,Ruringu,0,0,Nyeri,Clinical_Officer,N,Y,Operational
14186,Afya_Bora_Medical_Clinic_(Turkana_Central),Rift_Valley,Turkana,Turkana_Central,Central,Medical_Clinic,Private_Practice_-_Clinical_Officer,Lodwar_Town,Kobil_-_St_Kevin_secondary_school_road,TURKANA_CENTRAL,Lodwar,0,0,,Hospital_Director,N,Y,Operational
19551,Afya_Bora_Medical_Clinic_(Westlands),Nairobi,Nairobi,Westlands,Kangemi,Medical_Clinic,Private_Enterprise_(Institution),,,WESTLANDS,,1,0,,,N,N,Operational
11201,Afya_Clinic,Coast,Taita_Taveta,Wundanyi,Wundanyi,Medical_Clinic,Private_Enterprise_(Institution),Wundanyi,opposite_Barclays_bank_Wundanyi,WUNDANYI,Wundanyi,0,0,Wundanyi,Clinical_Officer,N,Y,Operational
14187,Afya_Frank_Medical_Clinic,Rift_Valley,Kajiado,Kajiado_North,Ngong,Medical_Clinic,Private_Practice_-_General_Practitioner,Kandisi,,KAJIADO_NORTH,Ongata_Rongai,0,0,,,N,N,Operational
18486,Afya_Health_Care,Nairobi,Nairobi,Roysambu,Kasarani,Dispensary,Private_Enterprise_(Institution),Githurai,"off_kamiti_rd_,Githurai_44_behind_uncle_sam_near_kimsa_supermarket__opp_Genesis_Flats",ROYSAMBU,"off_kamiti_rd_,Githurai_44_behind_uncle_sam_near_kimsa_supermarket__opp_Genesis_Flats",0,0,Nairobi,Nursing_Officer_in_Charge,N,Y,Operational
16294,Alnas_Medical_Clinic,North_Eastern,Mandera,Mandera_East,Central,Medical_Clinic,Private_Enterprise_(Institution),Bulla_Mpya,,MANDERA_EAST,Mandera,0,0,Mandera,,N,N,Operational
19000,Alnasar_Medical_Clinic,North_Eastern,Garissa,Garissa,,Medical_Clinic,Private_Practice_-_Clinical_Officer,,,DUJIS,,0,0,,,N,Y,Operational
18067,Alpha_Community_Health_Clinic_(Migori),Nyanza,Migori,Migori,Suba_Central,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Oruba,The_facility_is_located_in_Oruba_Estate_in_Migori_Town,MIGORI,Oruba_Estate_Migori_Town,2,0,Suna_Migori,Nursing_Officer_in_Charge,N,Y,Operational
19748,Alpha_Dental_Services,Rift_Valley,Trans_Nzoia,Trans_Nzoia_West,Central,Dental_Clinic,Private_Practice_-_Medical_Specialist,Milimani,Situated_at_Vision_Gate_building_in_Kitale_opposite_former_divisional_police_station_Kitale,SABOTI,Kitale,0,0,Kitale,Doctor_In_Charge,N,Y,Operational
10022,Alpha_Family_Health_Care,Central,Nyeri,Tetu,Tetu,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Unjiru,,TETU,Giakanja,0,0,Nyeri,Nursing_Officer_in_Charge,N,N,Operational
19880,Alpha_Medical_Agency,Western,Vihiga,Sabatia,Chavakali,Medical_Clinic,Private_Practice_-_Unspecified,,Along_Kakamega-Kapsabet_rd,SABATIA,Chavakali_Market,0,0,,,N,N,Operational
16321,Alpha_Medical_Clinic,Rift_Valley,Samburu,Samburu_Central,Kirisia,Medical_Clinic,Private_Practice_-_Clinical_Officer,Maralal,Maralal_Town_near_Chiefs_Office,SAMBURU_WEST,Maralal_Town_,0,0,Maralal,Clinical_Officer,N,Y,Operational
20992,Alpha_Medical_Clinic_(Kambu),Eastern,Makueni,Kibwezi,Kambu,Medical_Clinic,Private_Practice_-_Clinical_Officer,Kambu,,KIBWEZI,Kambu_town,0,0,Makindu,Clinical_Officer,N,Y,Operational
19321,Alpha_Medical_Clinic_(Koibatek),Rift_Valley,Baringo,Koibatek,Eldama_Ravine,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Ravine,Baringo_County_Hotel_Ground_Floor,ELDAMA_RAVINE,Eldama_Ravine,0,0,Eldama_Ravine,Nursing_Officer_in_Charge,N,Y,Not-Operational
19040,Alpha_Medical_Clinic_Mile_Tisa,Rift_Valley,Kajiado,Kajiado_Central,Namanga,Medical_Clinic,Private_Practice_-_General_Practitioner,,Mile_Tisa_Trading_Centre,KAJIADO_CENTRAL,Mile_Tisa,0,0,,Nursing_Officer_in_Charge,N,Y,Operational
20929,Alpha_Nursing_Home,Eastern,Machakos,Masinga,Masinga,Medical_Clinic,Private_Enterprise_(Institution),Kaewa,,MASINGA,Kaewa,1,4,,,Y,Y,Operational
19356,Alphine_Dental_Centre_(Kencom_Hse),Nairobi,Nairobi,Starehe,Central,Dental_Clinic,Private_Practice_-_Unspecified,Central,Located_at_KENCOM_Hse(Nairobi),STAREHE,,0,0,,,N,Y,Operational
20831,Alphine_Health_Care_Centre,Western,Bungoma,Bungoma_South,Kanduyi,Medical_Clinic,Private_Practice_-_Clinical_Officer,Township,"Along_Mumias_road,_",KANDUYI,St._Damiano_Hospital,0,0,,Clinical_Officer,N,Y,Operational
21149,Alphond_Medical_Centre,Western,Kakamega,Mumias_West,Mumias_Central,Medical_Clinic,Private_Practice_-_Clinical_Officer,Township,Mumias_Musanda_Road_Behind_Equity_Bank,MUMIAS,Nabongo,3,0,Mumias,Hospital_Director,N,Y,Operational
19461,Al-Ramah_Healthcare,North_Eastern,Garissa,Garissa,,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,,,DUJIS,,0,0,,,N,Y,Operational
13287,Al-Siha_Nursing_Home,North_Eastern,Mandera,Mandera_East,Central,Nursing_Home,Private_Enterprise_(Institution),Bulla_Mpya,,MANDERA_EAST,Mandera,0,0,Mandera,,N,N,Operational
13472,Alum_Beach_Dispensary,Nyanza,Homa_Bay,Rachuonyo_North,West_Karachuonyo,Dispensary,Ministry_of_Health,Kayoo_West,,KARACHUONYO,Kandiege_Market,0,0,Kendu_Bay,,N,N,Operational
13473,Aluor_Mission_Health_Centre,Nyanza,Siaya,Gem,Wagai,Health_Centre,Kenya_Episcopal_Conference-Catholic_Secretariat,Onyinyore,Rera_-_Aluor_road,GEM,Aluor_Market,0,0,,Nursing_Officer_in_Charge,Y,Y,Operational
15795,Alupe_Sub-District_Hospital,Western,Busia,Teso_South,Chakol,Sub-District_Hospital,Ministry_of_Health,Alupe,,AMAGORO,Busia,130,0,Busia,,Y,Y,Operational
10023,Ama_(Africa_Muslim_Agency)_Clinic,Central,Kiambu,Thika_West,Thika_Municipality,Health_Centre,Supreme_Council_for_Kenya_Muslims,Komu,,JUJA,Thika,26,6,Thika,,N,N,Operational
19215,Amaal_Annex_Nursing,North_Eastern,Mandera,Mandera_East,central,Nursing_Home,Private_Practice_-_Nurse_/_Midwife,central,,MANDERA_EAST,central,8,0,,,Y,Y,Operational
15796,Amagoro_Nursing_Home,Western,Busia,Teso_North,Amagoro,Nursing_Home,Private_Enterprise_(Institution),Amagoro,Along_Bungoma_Malaba_road_next_DCs_office_Teso_North,AMAGORO,Amagoro,7,0,Amagoro,Clinical_Officer,N,N,Operational
20684,Amaiga_Dispensary_(Manga),Nyanza,Nyamira,Manga,Kemera,Dispensary,Ministry_of_Health,,,KITUTU_MASABA,Kenyenya_Market,2,2,,Nursing_Officer_in_Charge,N,N,Operational
14198,Amakuriat_Dispensary,Rift_Valley,West_Pokot,North_Pokot,Alale,Dispensary,Other_Faith_Based,Amakuriat,Near_Amakuriat_trading_centre,KACHELIBA,Makutano,0,0,KACHELIBA,Nursing_Officer_in_Charge,N,N,Operational
16308,Amal_Medical_Clinic,North_Eastern,Mandera,Mandera_East,Central,Medical_Clinic,Private_Enterprise_(Institution),Bulla_Jamhuria,,MANDERA_EAST,Mandera,0,0,Mandera,,N,N,Operational
20213,Amalya_Medical_Centre,Central,Kiambu,Kikuyu,Kikuyu,Medical_Clinic,Private_Practice_-_Clinical_Officer,Gitaru,Green_House_Gitaru_Shopping_Centre,KABETE,Gitaru,0,0,Nakuru,Clinical_Officer,N,Y,Operational
10024,Amani_Clinic,Central,Nyeri,Mathira_East,Mathira,Medical_Clinic,Private_Practice_-_Clinical_Officer,Karatina,,MATHIRA,Karatina,0,0,Karatina,,N,N,Not-Operational
18610,Atela_Dispensary,Nyanza,Homa_Bay,Rachuonyo_South,Kabondo,Dispensary,Ministry_of_Health,Kodumo_East,Along_Kisii_Kisumu_road,KASIPUL/KABONDO,Near_Chabera_Market,0,6,Oyugis,Nursing_Officer_in_Charge,N,N,Operational
13489,Atemo_Health_Centre,Nyanza,Homa_Bay,Rachuonyo_South,Kasipul,Health_Centre,Christian_Health_Association_of_Kenya,Kamuga,,KASIPUL/KABONDO,Ringa_Market,10,1,Oyugis,Nursing_Officer_in_Charge,N,N,Operational
18169,Athi_Complex_Community_Centre,Eastern,Machakos,Athi_River,Mavoko,Nursing_Home,Private_Practice_-_General_Practitioner,Athi_River,In_Athi_River_Town,KATHIANI,Athi_River_Town,10,0,,,N/A,N/A,Operational
10041,Athi_Dispensary,Central,Kiambu,Thika_West,Juja,Dispensary,Ministry_of_Health,kalimoni,JUJA_FARM_NEAR_ATHI_PRIMARY_SCHOOL,JUJA,Jujafarm,0,0,Thika,Nursing_Officer_in_Charge,N,N,Operational
11934,Athi_Kamunyuni_Dispensary,Eastern,Makueni,Kibwezi,Mtito_Andei,Dispensary,Ministry_of_Health,Kiteng'ei,"At_Athi_Kamunyuni_Shopping_Centre,_25_km_east_of_Kambu_Town,_through_Daranjani_Railway_Station",KIBWEZI,Kambu,2,0,Ngwata,Nursing_Officer_in_Charge,N,N,Operational
11935,Athi_River_Community_Hospital,Eastern,Machakos,Athi_River,Athi_River,Medical_Clinic,Private_Enterprise_(Institution),Mavoko,,KATHIANI,Makadara,10,0,Athi_River,Doctor_In_Charge,Y,Y,Operational
11936,Athi_River_Health_Centre,Eastern,Machakos,Athi_River,Athi_River,Health_Centre,Ministry_of_Health,Mavoko,"In_Athi_River_Town,Adjacent_to_Mavoko_County_Council.",KATHIANI,Mavoko,6,4,Athi_River,Clinical_Officer,Y,Y,Operational
11937,Athi_River_Medical_Services,Eastern,Machakos,Athi_River,Athi_River,Maternity_Home,Private_Enterprise_(Institution),Mavoko,,KATHIANI,Makadara,26,0,Athi_River,Hospital_Director,Y,Y,Operational
13295,Athibohol_Dispensary,North_Eastern,Wajir,Wajir_West,Hadado,Dispensary,Ministry_of_Health,Athibohol,,WAJIR_WEST,Griftu,0,0,Griftu,Nursing_Officer_in_Charge,N,N,Operational
19185,Athirunjine_Runjine_Dispensary,Eastern,Meru,Igembe_Central,Ndoleli,Dispensary,Ministry_of_Health,Antubetwekiongo,,NTONYIRI,Antubetwe_Market_,0,0,Laare,Nursing_Officer_in_Charge,N,Y,Operational
14220,Atiar_Dispensary,Rift_Valley,Baringo,Baringo_North,Bartabwa,Dispensary,Community,Atiar,,BARINGO_NORTH,Kabartonjo,0,0,Kabartonjo,Nursing_Officer_in_Charge,N,N,Operational
10042,Atlas_Medical_Clinic,Central,Nyeri,Nyeri_South,Othaya,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Kihugiru,,OTHAYA,Othaya_Town,0,0,Othaya,Nursing_Officer_in_Charge,N,N,Operational
16866,Avarende_Medical_Clinic,Western,Kakamega,Kakamega_Central_(Lurambi),Municipality,Medical_Clinic,Private_Enterprise_(Institution),Mahiakalu,Next_to_Sichirai_Market_1_KM_from_Kakamega_-Webuye_Highway,LURAMBI,Sichirai_Mkt,0,0,,Nursing_Officer_in_Charge,N,N,Operational
16531,Avenue_Health_Care,Coast,Mombasa,Mvita,Island,Medical_Clinic,Private_Enterprise_(Institution),Ganjoni,,MVITA,Mombasa,0,0,Mombasa,,N,N,Operational
19462,Avenue_Health_Care_(Makadara),Nairobi,Nairobi,Makadara,Viwandani,Medical_Clinic,Private_Practice_-_General_Practitioner,Viwandani,,MAKADARA,Lungalunga,0,0,,Nursing_Officer_in_Charge,N,N,Operational
13490,Avenue_Health_Care_Clinic,Nyanza,Kisumu,Kisumu_East,Winam,Medical_Clinic,Private_Enterprise_(Institution),Southern,,KISUMU_TOWN_EAST,Kisumu,0,0,,,N,N,Operational
18817,Avenue_Health_Care_Nakuru,Rift_Valley,Nakuru,Nakuru,Nakuru_Municipality,Medical_Clinic,Private_Practice_-_General_Practitioner,Near_Maya_Emporium,Town_Centre,NAKURU_TOWN,Central_Town,0,0,Nairobi,Doctor_In_Charge,N,Y,Operational
19083,Avenue_Health_Care_Ongata_Rongai,Rift_Valley,Kajiado,Kajiado_North,Ongata_Rongai,Medical_Clinic,Private_Practice_-_General_Practitioner,Nkaimurunya,Magadi_Road_next_to_Uchumi_Supermarket,KAJIADO_NORTH,Ongata_Rongai,0,0,,Doctor_In_Charge,Y,Y,Operational
20628,Avenue_Healthcare_Thika_,Central,Kiambu,Thika_West,Municipality,Medical_Clinic,Private_Practice_-_General_Practitioner,Biashara,"3rd_Plaza_Zuri_Plaza,_Nakumatt_Building",JUJA,Thika_town,0,0,Nairobi,Hospital_Director,N,Y,Operational
12874,Avenue_Hospital,Nairobi,Nairobi,Westlands,Parklands,Other_Hospital,Private_Enterprise_(Institution),Parklands,Along_first_Avenue_parklands_Road,WESTLANDS,Nairobi,65,10,Nairobi,Hospital_Director,Y,Y,Operational
20123,Avenue_Hospital_Kisumu,Nyanza,Kisumu,Kisumu_East,Winam,Other_Hospital,Private_Enterprise_(Institution),,Along_Kisumu_Kakamega_Road-_Opposite_Kibuye_Market,KISUMU_TOWN_EAST,Kibuye_Market-Kisumu_Kakamega_Road,70,6,Kisumu,Hospital_Director,Y,Y,Operational
13491,Awasi_Mission_Health_Center,Nyanza,Kisumu,Nyando,Nyando,Health_Centre,Kenya_Episcopal_Conference-Catholic_Secretariat,Border_I,,NYANDO,Awasi,12,1,Awasi,Nursing_Officer_in_Charge,N,N,Operational
18081,Awendo_Jiwdendi,Nyanza,Migori,Awendo,Awendo,VCT_Centre_(Stand-Alone),Non-Governmental_Organizations,Kombok,,RONGO,Within_Awendo_Town,0,0,Suna_Migori,,N,N,Operational
13492,Awendo_Sub-District_Hospital,Nyanza,Migori,Awendo,Awendo,Sub-District_Hospital,Ministry_of_Health,Kombok,Next_to_Sony_Sugar_Company,RONGO,Awendo,35,0,Awendo,Medical_Superintendant,N,N,Operational
14228,Baragoi_Sub-District_Hospital,Rift_Valley,Samburu,Samburu_North,Baragoi,Sub-District_Hospital,Ministry_of_Health,Baragoi,"Located_at_baragoi_lesirikan_Road,_Near_DCs_Offices",SAMBURU_WEST,Baragoi,30,1,Baragoi,Clinical_Officer,Y,Y,Operational
11942,Baragu_Health_Centre,Eastern,Tharaka_Nithi,Maara,Mwimbi,Health_Centre,Ministry_of_Health,Kithare,500m_of_road_katharaka_market_chuka_meru_highway,CHUKA_IGAMBANGOMBE,Chogoria,5,2,Magutni_Chogoria,Nursing_Officer_in_Charge,Y,Y,Operational
10046,Baragwi_Maternity_Home,Central,Kirinyaga,Kirinyaga_East,Gichugu,Nursing_Home,Private_Enterprise_(Institution),Raimu,,GICHUGU,Kianyaga,0,0,,Nursing_Officer_in_Charge,N,N,Not-Operational
11943,Baraka_Afya_Clinic,Eastern,Embu,Manyatta,Nembure,Medical_Clinic,Private_Enterprise_(Institution),Nembure_South,Located_at_Embu-Meru_road_between_Embu_and_Runyenjes,MANYATTA,Ena,0,0,Embu,Nursing_Officer_in_Charge,N,N,Operational
18841,Baraka_Clinic_(Lugari),Western,Kakamega,Lugari,Lugari,Medical_Clinic,Private_Practice_-_Nurse_/_Midwife,Munyuki,Along_Webuye_Eldoret_road,LUGARI,Kipkaren_River,1,1,Kipkaren_River,Nursing_Officer_in_Charge,N,Y,Not-Operational
18915,Baraka_Dental_Clinic_(Maara),Eastern,Tharaka_Nithi,Maara,Chogoria,Medical_Clinic,Private_Practice_-_Medical_Specialist,Chogoria,Next_to_Chogoria_Boys_High_School,MAARA,Chogoria,0,0,Chogoria,Clinical_Officer,N,Y,Operational
12881,Baraka_Dispensary_(Nairobi),Nairobi,Nairobi,Ruaraka,Kasarani,Dispensary,Private_Enterprise_(Institution),,Next_to_mathare_North_H/C,RUARAKA,Nairobi,0,0,,Nursing_Officer_in_Charge,N,N,Operational
17757,Baraka_Health_Centre,Rift_Valley,Narok,Narok_South,Mulot,Health_Centre,Non-Governmental_Organizations,Enelerai,Located_about_6_km_to_the_South-East_of_mulot_market,NAROK_SOUTH,Mulot,2,0,Nairobi,Clinical_Officer,N,N,Operational
