,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
481,26918,Noble Smiles Dental Care Ltd(prestige),Noble Smiles Dental Care Ltd,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,Yes,Yes,No,Yes,Yes,No
496,26787,Haven Park Medical,Haven Park Medical,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Mwiki,Operational,No,No,Yes,Yes,Yes,Yes,No
497,26912,Kizazi Clinique,Kizazi Clinique,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Mwiki,Operational,No,No,Yes,Yes,Yes,Yes,No
509,26792,Smile Essence Dental Centre LTD Hurlighum,Smile Essence Dental Centre LTD Hurlighum,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
512,26795,Vitalray Health Solutions LTD,Vitalray Health Solutions LTD,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
549,26731,Twinkle Medical Services(Upperhill),Twinkle Medical Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,Yes,No,Yes,Yes,No
567,26732,Maxivision Eye Clinic,Maxivision Eye Clinic,Level 2,Ophthalmology,STAND ALONE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
575,26689,"Milele Dental Care, Githurai","Milele Dental Care, Githurai",Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,Yes,Yes,No,Yes,Yes,No
594,26734,Blue Ridge medical Centre,Blue Ridge medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,7,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,Yes,Yes,No,Yes,Yes,No
598,26736,University Of Nairobi Eye Centre,University Of Nairobi Eye Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
600,26619,Elox Medical Centre,Elox Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,4,0,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
617,26735,Kamlesh Kapadia Optics Limited,Kamlesh Kapadia Optics Limited,Level 2,Ophthalmology,STAND ALONE,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
626,26573,Optex Opticians Mountain Mall,Optex Opticians Mountain Mall,Level 2,Ophthalmology,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
636,26737,Hope Worldwide Mukuru Centre,Hope Worldwide Mukuru Centre,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Landimawe,Operational,No,No,No,No,Yes,Yes,No
640,26749,London Clinic & Dialysis Centre(upperhill),London Clinic & Dialysis Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
659,26738,Kamlesh Kapadia Optics Limited-Westlands,Kamlesh Kapadia Optics Limited-Westlands,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
668,26527,True Health Medical Centre,True Health Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,10,1,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
697,26441,Blessed Maria Helena Dispensary,Blessed Maria Helena Dispensary,Level 3,Basic Health Centre,HEALTH CENTRE,Other Faith Based,Faith Based Organization,Kenya MPDB,12,1,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
703,26442,Nzoia Nursing Home,Nzoia Nursing Home,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,25,2,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
706,26398,Olivium Healthcare Limited,Olivium Healthcare Limited,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,10,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,No,No,Yes,Yes,No
713,26445,Progressive Dental Care Limited,Progressive Dental Care Limited,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
736,26482,Superior  Care Medical Center,Superior Care Medical Center,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,Yes,Yes,Yes,Yes,Yes,No
737,26485,Emmaos Medical Clinic,Emmaos Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Umoja II,Operational,No,Yes,Yes,Yes,Yes,Yes,No
766,26332,CFK Tabitha Maternity Home,CFK Tabitha Maternity Home,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,15,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
773,26331,Mediheal Hospital Parklands,Mediheal Hospital Parklands,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,40,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
774,26346,"Perkins Eye Clinic & Optical, Services","Perkins Eye Clinic & Optical, Services",Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
779,26833,KIASIE Medical Clinic,KIASIE Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,Yes,Yes,Yes,Yes,Yes,No
789,26335,Kariobangi South Primecare Health Services,Kariobangi South Primecare Health Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Nairobi,Embakasi West,Embakasi West,Kariobangi South,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
790,26337,Mowlem Community Clinic,Mowlem Community Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,No,No,No,Yes,Yes,No
809,26208,Kam Health Care Services,Kam Health Care Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,Yes,Yes,No
822,26209,Macho Medical Center,Macho Medical Center,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,No,No,No,No,Yes,Yes,No
823,26212,The Marikiti Medical Center,The Marikiti Medical Center,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,No,Yes,No,Yes,Yes,No
855,26214,Om Shanti Medical Clinic(South C),Om Shanti Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,South C,Operational,No,No,Yes,No,Yes,Yes,No
856,26210,Penda Health Limited Langata,Penda Health Limited Langata,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,Yes,Yes,Yes,No
858,26091,Chiromo Mental Health Hospital,Chiromo Mental Health Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,103,0,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
862,26170,Texas Cancer Centre Nairobi West,Texas Cancer Centre Nairobi West,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,52,0,Nairobi,Langata,Langata,Nairobi West,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
864,26134,Cks Dialysis Centre Buruburu,Cks Dialysis Centre Buruburu,Level 2,Dialysis Center,STAND ALONE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,No,No,Yes,Yes,No
870,26114,Fortis Kidney Center Limited(Upper hill),Fortis Kidney Center Limited,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
895,26103,Penda Medical Centre Sunton,Penda Medical Centre Sunton,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Kasarani,Operational,No,Yes,Yes,Yes,Yes,Yes,No
896,26127,Jekam Medical Centre,Jekam Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
902,26032,Equity Afia Githurai,Equity Afia Githurai,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,Yes,Yes,Yes,Yes,Yes,No
